work_id,parliament_house,mp_name,state,constituency,elected_nominated,work_category,work_description,recommended_amount,recommended_date,sanctioned_amount,sanction_date,completion_amount,completion_date,work_status_raw,has_recommended,has_sanctioned,has_expenditure,has_completed,is_unmatched_work,lifecycle_status
WS/MP620/2024-2025/133308,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,399304.0,2024-07-09,399304.0,2024-08-17,399304.0,2025-05-31,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2024-2025/133309,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,495031.0,2024-07-09,495031.0,2025-03-14,495031.0,2025-10-28,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2024-2025/133310,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,247583.0,2024-07-09,247583.0,2024-08-22,247583.0,2025-05-31,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2024-2025/133311,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,250000.0,2024-07-09,250000.0,2024-08-22,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP620/2024-2025/133312,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,498091.0,2024-07-09,498091.0,2024-07-25,498091.0,2025-06-09,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP418/2024-2025/133409,Lok Sabha,Pradeep Kumar Singh,Bihar,ARARIA,,Normal/Others,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",448127.0,2024-07-12,448127.0,2024-07-14,448127.0,2024-09-05,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP498/2024-2025/133447,Lok Sabha,Sukanta Majumdar,West Bengal,BALURGHAT,,Normal/Others,Phage 2: Concrete R.C.C. bridge,1602957.0,2024-07-13,1602957.0,2024-08-07,1602957.0,2026-07-27,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133549,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khnagela game mota faliya ma c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-04-11,250000.0,2026-02-21,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133550,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133551,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,242105.0,2024-07-17,242105.0,2025-10-17,242105.0,2026-02-21,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133552,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khapariya game damor faliya ma c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-04-11,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133553,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,agavada game gamtal sarpanch faliya ma c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133554,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,dashla game sarkari prathmik  shala ma shed nu kam,245098.0,2024-07-17,245098.0,2025-10-17,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133556,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khapariiya game damor simada faliya faliya ma c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133557,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,VAROD SURPALI SADIYAVARU FALIYAMA AAVEL SARKARI SARVE NO.189-1 MA SAMUHIK KUVA NU KAM,250000.0,2024-07-17,250000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133558,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133559,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,moti kharaj game dhanthadi c.c.road nu kam,245098.0,2024-07-17,245098.0,2025-10-17,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133560,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,245826.0,2024-07-17,245826.0,2025-10-17,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133561,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nasirpur game mavi faliya ma samuhik kuva nu kam,245826.0,2024-07-17,245826.0,2025-10-17,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133562,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133563,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,chandawada game toranvali mahudi faliya ma c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Physical Inspection,True,True,True,False,False,Sanctioned & In Progress
WS/MP577/2025-2026/133564,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,DHAVADIYA GAME BORVA FALIYAMA C.C.ROADNU KAM,250000.0,2024-07-17,250000.0,2026-01-02,,2026-05-12,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133565,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,simaliya khurd  game gamtal thi majubhai na ghar sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-04-11,250000.0,2026-02-06,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133566,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,varamkheda game nadini bajuma c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133567,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,bhutodi game mohaniya  faliya ma c.c.road nu kam,245098.0,2024-07-17,245098.0,2025-10-17,245098.0,2026-05-06,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133568,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,motikharaj game paka rasta thi  bhabhor faliya sudhi c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133569,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-04-11,250000.0,2026-02-21,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133570,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,gadoi game umriya kotar upar smshan jata rasta upar nala nu kam,250000.0,2024-07-17,250000.0,2025-04-11,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133571,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,bavka game mulka faliya thi smshan taraf jata rasta par nala nu kam,250000.0,2024-07-17,250000.0,2025-04-11,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133572,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,katwara game hathila faliya ma  samuhik kuva nu kam,245826.0,2024-07-17,245826.0,2025-10-17,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133573,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nani kharaj game bandikhedi panda faliya ma c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133574,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,kathla game damar road thi parmar faliya sudhi c.c.road nu kam,245697.0,2024-07-17,245697.0,2025-10-07,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133575,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nalwai game chopadi faliya ma c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-27,,,Work partially Completed,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133576,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,garbada game kamliyavad faliyama c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-27,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133577,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,lilar game mavi faliya ma  samuhik kuva nu kam,245826.0,2024-07-17,245826.0,2025-10-17,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133578,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,chharchhoda game bhabhor faliya thi aanganvadi ne jodto c.c.roadnu kam,250000.0,2024-07-17,250000.0,2025-03-27,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133579,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,bhutardi game bhuriya faliya ma c.c.road nu kam,247496.0,2024-07-17,247496.0,2025-10-04,,,Physical Inspection,True,True,True,False,False,Sanctioned & In Progress
WS/MP577/2025-2026/133580,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,minakyar game bilval faliya ma c.c.road nu kam,247496.0,2024-07-17,247496.0,2025-10-04,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133581,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,kharva game rasulbhaina ghar pase nikalti  sheri thi aanganvadi sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133582,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nelsur game aashram faliya ma saamuhik kuva nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133583,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,ambli game khada faliya ma samuhik  kuva nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133584,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,vajelav game sarpanch faliya ma c.c.road nu kam,249291.0,2024-07-17,249291.0,2025-03-27,249291.0,2026-08-22,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2024-2025/133585,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-27,249291.0,2026-08-22,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2024-2025/133586,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,abhlod game indira nagari faliya ma c.c.road nu kam,249291.0,2024-07-17,249291.0,2025-03-27,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133587,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,zari burjarg game dungra faliya ma aanganvadi thi ramanbhai vanabhai na ghar sudhi c.c.road nu kam,247496.0,2024-07-17,247496.0,2025-10-04,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133588,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,rayan panchayat limbu faliya thi lilva talavne jodto c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-27,249291.0,2026-08-23,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133589,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,boriyala game divaniya faliya ma samuhik kuva nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133590,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,patiya game simada faliya ma samuhik kuva nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133591,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,abhlod game umriya umariya faliya thi pranmji mandir par c.c.road nu kam,250000.0,2024-07-17,250000.0,2026-01-12,248443.0,2026-08-21,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2024-2025/133592,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,kharva game bhuriya faliya ma c.c.road nu kam,249291.0,2024-07-17,249291.0,2025-03-27,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133593,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,DHAMANBARI GAME NISHAL FALIYAMA SAMUHIK KUVANU KAM,350000.0,2024-07-17,350000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133594,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,patiya game katara faliya thi samshan sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133595,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nadhelav game bara na kotar thi shala taraf jata rasta par c.c.road nu kam,247496.0,2024-07-17,247496.0,2025-10-04,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133596,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,abhlod game mukhy rastaa thi  bor faliya sudhi c.c.road nu kam,300000.0,2024-07-17,300000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133597,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nimach game nichvas faliya ma c.c.road nu kam,249291.0,2024-07-17,249291.0,2025-03-27,,,Physical Inspection,True,True,True,False,False,Sanctioned & In Progress
WS/MP577/2024-2025/133598,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,vadva game bariya faliya anganvadi ne jodto c.c.road nu kam,249291.0,2024-07-17,249291.0,2025-03-27,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133599,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,zarikhareli ma vaniya faliyama sarvajanik kuva nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133600,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,sahada game nishal faliya thi khaped faliya ne jodto c.c.road nu kam,249291.0,2024-07-17,249291.0,2025-03-27,249291.0,2026-08-21,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2024-2025/133601,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nava faliya thi bamniya sudhi c.c.road nu kam,249291.0,2024-07-17,249291.0,2025-03-27,249291.0,2026-08-23,Physical Inspection,True,True,True,True,False,Sanctioned & Completed
WS/MP577/2025-2026/133602,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,nadhelav game burva  faliyama sarvjanik kuva nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Physical Inspection,True,True,True,False,False,Sanctioned & In Progress
WS/MP577/2025-2026/133603,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,rayan game paka road thi gamtal sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2026-01-12,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133604,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,PANIVED GAME KALADALA FALIYAMA SARKARI SARVE NUMBER 333 MA SAMUHIK KUVANU KAM,250000.0,2024-07-17,250000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133605,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khalta garbadi game risol faliya ma c.c road nu kam,250000.0,2024-07-17,250000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133606,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,dumka game main road thi mukhy nishal sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-16,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133607,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,motimalu game main road thi baheda faliya sudhi c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-16,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133608,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,dumka game anganvadi kendr number 4 par c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-16,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133609,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khalta game mohaniya faliya ma c.c road nu kam,250000.0,2024-07-17,250000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2026-2027/133610,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,vakota game maji sarpanch faliya ma sarvjanik kuva nu kam,250000.0,2024-07-17,250000.0,2026-06-30,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133611,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,dhanarpatiya game mukhy  faliyama c.c.road nu kam,250000.0,2024-07-17,250000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2024-2025/133612,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,khajuri game mali faliya ma c.c.road nu kam,250000.0,2024-07-17,250000.0,2025-03-16,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133613,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,zabu game bamaniya faliya ma sarvajanik kuva nu kam,250000.0,2024-07-17,250000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP577/2025-2026/133614,Lok Sabha,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),,Normal/Others,zabu game pateliya faliya ma c.c.road nu kam,250000.0,2024-07-17,250000.0,2026-01-02,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP18152/2024-2025/133686,Lok Sabha,Sarabjeet Singh Khalsa,Punjab,FARIDKOT(SC),,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,300000.0,2024-07-22,300000.0,2024-08-02,300000.0,2025-04-07,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP18152/2024-2025/133687,Lok Sabha,Sarabjeet Singh Khalsa,Punjab,FARIDKOT(SC),,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Gondara,300000.0,2024-07-22,300000.0,2024-08-02,300000.0,2025-04-07,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP18152/2024-2025/133688,Lok Sabha,Sarabjeet Singh Khalsa,Punjab,FARIDKOT(SC),,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,300000.0,2024-07-22,300000.0,2024-08-02,300000.0,2025-04-07,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP18152/2024-2025/133689,Lok Sabha,Sarabjeet Singh Khalsa,Punjab,FARIDKOT(SC),,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,300000.0,2024-07-22,300000.0,2024-08-02,300000.0,2025-04-07,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
